System,Latitude,Longitude,Amazon,Region,Country,Alpine (cutoff 1000m elevation),Installed Hydropower Capacity?,Primary Use of Reservoir,Trophic Status,mg CH4-C m-2 d-1 Diffusive + Ebullitive,mg CH4-C m-2 d-1 Diffusive Only,mg CH4-C m-2 d-1 Ebullitive Only,mg CH4-C m-2 d-1 All Estimates Combined,mg CO2-C m-2 d-1,mg N2O-N m-2 d-1,Age (yrs),Chlorophyll a (ug/L),Reported Mean Annual Precipitation (mm),| Latitude |,Mean Water Temperature (degrees C),Mean Depth (m),Surface Area (km2),Catchment Area (km2),Catchment Area : Surface Area,Volume (km3),Residence Time (days),DOC (mg/L),TP (ug/L),NO3-N (mg/L),Modeled DIP Yield (kg km-2 yr-1),Modeled DIP (ug/L),Modeled Mean Annual Precipitation (mm),Modeled Runoff (mm y-1),Modeled Mean Annual Air Temperature (degrees C),Citations for GHG Data,Supplementary Citations,Type,TN(mg/L), Max Depth (m)
Lac de Retaud,46.36,7.2,,CE,Switzerland,,,,,579.72,35.04,544.68,,,,,,,,20.1,,0.01,,,,,,13,,,,,,,Rinta et al. 2017,,lake,0.48,5
Husemersee,47.62,8.7,,CE,Switzerland,,,,,63.72,34.92,28.92,,,,,,,,25.2,,0.07,,,,,,7,,,,,,,Rinta et al. 2017,,lake,2.4,14
Türlersee,47.27,8.5,,CE,Switzerland,,,,,16.2,15.96,0.72,,,,,,,,24.5,,0.48,,,,,,9,,,,,,,Rinta et al. 2017,,lake,0.67,25
Lac Noir,46.33,7.08,,CE,Switzerland,,,,,90.48,52.56,39,,,,,,,,18.9,,0.01,,,,,,7,,,,,,,Rinta et al. 2017,,lake,0.29,11
Lac de Bretaye,46.33,7.07,,CE,Switzerland,,,,,30.48,19.92,10.56,,,,,,,,18.9,,0.04,,,,,,29,,,,,,,Rinta et al. 2017,,lake,0.54,9
Lac des Chavonnes,46.33,7.09,,CE,Switzerland,,,,,1.2,0.72,0.48,,,,,,,,18.8,,0.05,,,,,,13,,,,,,,Rinta et al. 2017,,lake,0.34,28
Egelsee,47.4,8.36,,CE,Switzerland,,,,,81.6,38.04,43.68,,,,,,,,24.3,,0.02,,,,,,12,,,,,,,Rinta et al. 2017,,lake,0.46,11
Schwendisee,47.19,9.33,,CE,Switzerland,,,,,34.2,32.28,1.92,,,,,,,,23,,0.03,,,,,,16,,,,,,,Rinta et al. 2017,,lake,0.39,10
Lac d'Aï,46.36,7.01,,CE,Switzerland,,,,,202.92,73.68,129.24,,,,,,,,16.6,,0.01,,,,,,65,,,,,,,Rinta et al. 2017,,lake,1.1,2
Seelisbergsee,46.96,8.57,,CE,Switzerland,,,,,12.96,8.76,4.56,,,,,,,,22,,0.17,,,,,,9,,,,,,,Rinta et al. 2017,,lake,0.53,38
Gantrischseeli,46.71,7.44,,CE,Switzerland,,,,,37.56,5.64,31.8,,,,,,,,16.1,,0.01,,,,,,39,,,,,,,Rinta et al. 2017,,lake,1.1,1
Uebeschisee,46.73,7.57,,CE,Switzerland,,,,,94.2,57,37.92,,,,,,,,23.4,,0.14,,,,,,16,,,,,,,Rinta et al. 2017,,lake,1.3,15
Seebergsee,46.58,7.44,,CE,Switzerland,,,,,70.68,77.52,0,,,,,,,,15.1,,0.06,,,,,,12,,,,,,,Rinta et al. 2017,,lake,0.4,15
