lake_name,Value,Variable,LakeVarID,Variable_Name,MEAN_JAN,MEAN_FEB,MEAN_MAR,MEAN_APRIL,MEAN_MAY,MEAN_JUNE,MEAN_JULY,MEAN_AUG,MEAN_SEPT,MEAN_OCT,MEAN_NOV,MEAN_DEC,STD_JAN,STD_FEB,STD_MAR,STD_APRIL,STD_MAY,STD_JUNE,STD_JULY,STD_AUG,STD_SEPT,STD_OCT,STD_NOV,STD_DEC
Crooked Creek Reservoir,18,2T@SFC,18 2T@SFC,2m Temp,283.714078036221565,285.937254472212373,289.584983132102252,292.557121970436810,296.808973832563936,300.144080422141315,301.306493585759938,301.321215542879997,299.460182883522748,294.872688987038373,288.415710449218750,285.949446244673311,2.327381403410464,2.565379497950625,1.875793002031237,1.044729120196384,1.393224169221118,1.192218171007388,1.021166661683617,1.487497590769687,1.050497899948896,0.729365156362549,1.794558044227635,1.905886129464389
lake juniper,44,2T@SFC,44 2T@SFC,2m Temp,280.423961857769655,282.583600862694482,285.625488592825434,290.574429530067334,295.218468743002632,298.718893138724525,300.453418405011234,299.620016576774674,297.064873996883023,291.856492599408284,285.397008107003330,282.859615721828447,2.297671998323453,2.785760529067117,2.074689014299508,0.780423513751709,1.519599296305862,1.154524489723388,0.955569756682771,0.815890454717399,1.115116597505795,1.225209427734850,1.513488218666488,2.122494551029293
Maple Lake,46,2T@SFC,46 2T@SFC,2m Temp,274.893152653695665,276.269090059271491,279.267194392007866,285.188158512876157,290.242742803108513,295.351464060124954,298.524080510724787,297.448340968081880,294.407026032322051,288.902880849640439,281.964573034259217,278.331185810873990,2.305256463897826,2.840167709628179,2.190958309294649,1.456997764570636,1.219433425266984,0.544103468800722,0.711226057070136,1.034783248722380,0.831223790895901,1.047428398581359,1.608992131347852,2.080828614670486
Mirror Lake,47,2T@SFC,47 2T@SFC,2m Temp,274.126897638494313,275.257389415394186,278.595281427556813,284.767704356800436,290.110287753018440,295.231083263050436,298.494526256214499,297.332756736061810,294.080388849431813,288.356886430220186,281.283075506036937,277.544261585582376,2.400514888709721,3.026968168281656,2.234176292774445,1.478026262478936,1.214455175090923,0.532963416902417,0.687326544029616,1.166224096338200,0.794829836459568,1.111857736422492,1.642982713448788,2.143754942999069
Lake Stockwell,49,2T@SFC,49 2T@SFC,2m Temp,274.276045365767061,275.482531460848747,278.801602450284065,284.945438731800436,290.263519287109375,295.316132978959502,298.523645574396312,297.383005315607249,294.179465553977252,288.458981600674690,281.377180619673311,277.664467551491498,2.379221817240966,2.967403575663179,2.208674022229264,1.500514616120123,1.227144864861058,0.507615964271468,0.667639840979551,1.106095192904737,0.809983838214069,1.119130657935916,1.631107231220494,2.116965361123997
Tully Lake,51,2T@SFC,51 2T@SFC,2m Temp,268.624136044031673,269.317594906030934,273.018888362731388,279.926915098178313,286.733784506244945,291.853214370149203,295.424150724721642,294.399265176775884,290.484196324734398,284.186738456908813,276.782174028897600,272.292097649216828,2.367223252096569,2.896244435433503,2.326297362218552,1.290611541033233,1.418233109026652,1.059064606324668,1.207388888181420,1.225580830791121,0.879892328752146,1.350277267062407,1.637183879904198,2.312155762786014
Lake Zoar,52,2T@SFC,52 2T@SFC,2m Temp,271.530984420998379,272.068517227440850,275.592327270005001,281.833015348891536,287.775909860224488,292.727737518748654,296.587468407779966,295.632983447751656,291.953294965708892,286.139769968018697,279.069421451245319,274.978449196472070,2.318778325107952,3.000949659438143,2.252856673431953,1.362982457338651,1.190549164820691,0.714695050230130,0.979047409613522,1.064206875316136,0.846987524107143,1.147748314972005,1.593416223491726,2.181038603770200
Morris Reservoir,53,2T@SFC,53 2T@SFC,2m Temp,270.519653320312500,271.051778619939626,274.604691938920439,281.140041004527689,287.317319003018440,292.123306274414062,295.815548983487190,294.856549349698128,291.154252485795439,285.250352339311064,278.050298517400563,273.923345392400563,2.372649158670284,3.083829331897872,2.342720304803100,1.416183303186159,1.290814714052350,0.784965634230030,0.967525950549754,1.079173867005609,0.889915215357491,1.179997882696270,1.633809524851077,2.285280449461608
Spencer Lake,54,2T@SFC,54 2T@SFC,2m Temp,270.828602183948874,271.472410722212373,276.196488813920439,282.491781061345876,289.109755082563936,293.789854569868623,295.888702392578125,295.147920088334502,292.358442826704561,286.257099498401999,278.566101074218750,274.671392267400563,2.785454579733635,3.800301874624125,2.624256073922565,1.681516309978316,1.405609059955550,0.702908106229279,1.037218984935355,1.015082081037715,1.018313855254492,1.237343860420836,2.166645783359287,2.519010609846714
Zepernick Lake,55,2T@SFC,55 2T@SFC,2m Temp,270.737693093039752,271.790947654030560,276.347944779829561,282.657441572709502,288.910358775745749,293.327141501686810,295.607274835759938,294.743445656516315,291.920587713068187,285.768463134765625,278.082436301491498,274.566101074218750,2.720732536956728,3.666385362730221,2.526585750152420,1.578001407269254,1.518632181263391,0.570412790299016,1.106577420822006,1.037802175945792,1.053862020757590,1.209446477051922,2.109732532970097,2.405508180926220
Slatersville Reservoir,57,2T@SFC,57 2T@SFC,2m Temp,271.475974343039752,271.926601063121439,275.212113813920439,281.408151799982249,287.454925537109375,292.410238092595876,296.188240744850873,295.303282304243623,291.548783735795439,285.767042680220186,278.856584028764189,274.718444824218750,2.128048986363533,2.917780481840524,2.174049705640815,1.344068303183384,1.224133535268580,0.891972920828608,1.152963448393257,1.215020904919705,0.778796983173414,1.210367380617432,1.542837552081126,2.131521628254202
Halls pond,64,2T@SFC,64 2T@SFC,2m Temp,270.869795365767061,271.371203335848747,274.844571200284065,281.240538163618623,287.429534912109375,292.384314797141315,296.117040460759938,295.169937133789062,291.357022372159065,285.478690407492877,278.412514426491498,274.226079767400563,2.246703129441033,3.029103200016439,2.286717877091210,1.385880482444499,1.265365962343490,0.869008124121577,1.075211649949907,1.197085062878133,0.831697558712455,1.219106015873856,1.567782390948223,2.239786992355339
Weatherhead Hollow,65,2T@SFC,65 2T@SFC,2m Temp,267.869440252130687,268.728447654030560,272.541659268465935,279.539721402254997,286.489549116654814,291.389463944868623,294.778262051669060,293.694084861061810,289.897682883522748,283.628548362038373,276.203707608309685,271.670859596946002,2.450848671498598,2.857696197099465,2.326486615939075,1.340517068387257,1.445541967244584,1.024534356039868,1.205535356740871,1.194346764475168,0.883626744209037,1.339442224043485,1.664244182081388,2.339629085883066
Norton Reservoir,66,2T@SFC,66 2T@SFC,2m Temp,272.004916104403435,272.421274358575999,275.624223188920439,281.720651799982249,287.624492298473001,292.569329001686810,296.431138472123564,295.620576338334502,291.907093394886374,286.253015691583812,279.383572665127815,275.236733176491498,2.031814830812734,2.864397611890884,2.148095368051934,1.305089778650911,1.123823482943139,0.858868549417438,1.088482620682290,1.268771405049455,0.771195202998159,1.182580187194050,1.534981176636683,2.107650618948827
Fort Peck Trout pond,67,2T@SFC,67 2T@SFC,2m Temp,266.163474343039752,265.936721801757812,272.463534268465935,279.074700095436810,287.218242298473001,293.040209683504997,297.183269153941751,296.194972645152689,290.051802201704561,281.149855180220186,273.461697665127815,266.804737437855124,2.399267029917373,5.587854916235837,3.708658995340722,1.928846560444898,1.663079936120641,1.571567895839997,1.753473613778264,1.268930192428043,1.819036836001969,2.189274101904429,2.734590001600595,3.866264083942677
Tschida Lake,68,2T@SFC,68 2T@SFC,2m Temp,265.482290175377386,265.404882526593099,272.042190129123696,277.463371773743575,286.070150214909404,292.676827183830312,295.710260437580587,294.618418650583124,289.870586866683652,280.677800730469926,272.797118509462678,266.448726227425084,2.100773407988917,4.692142988979702,3.712130696700136,2.462066395191255,1.790684945518441,1.747511583871246,1.496913758426198,1.317541637209964,1.368651509597518,2.322818149777711,3.080459385419992,4.021003775062567
Lake Oahe,69,2T@SFC,69 2T@SFC,2m Temp,265.751753296109598,266.079287580013386,273.040081049147773,278.835192636399711,287.211402566268191,294.504081179190621,297.367630845537406,296.090204707168766,291.808594481460943,282.481322974911222,274.608197070541621,267.596028405203299,2.221784653492456,4.178586843310423,3.613103547242914,2.460096145623680,1.737072144749484,1.672336273994171,1.196743598654064,1.262216284924060,1.153518021118049,2.338974630099065,2.818125228827019,3.578836937473142
Lake Francis Case,70,2T@SFC,70 2T@SFC,2m Temp,267.526628840663591,267.966664707454015,275.100178726821582,280.807104952938175,288.300413331185609,295.677286589383471,298.192707780754517,296.974666934280151,293.218677047081940,283.884780180190774,276.290666624516291,269.078875697455999,1.557331141534521,3.468381752873837,2.908609304681983,2.410402535430187,1.596093855152584,1.479672723512403,1.082154376096776,1.345851987141131,1.109037223220388,2.128197204108700,2.513040621835943,2.803077029283699
willow creek,71,2T@SFC,71 2T@SFC,2m Temp,266.714788263494313,265.616764415394186,271.402809836647748,275.832512595436810,282.458476673473001,287.719364513050436,292.580996426669060,291.867912986061810,286.087136008522748,278.093036998401999,271.111555619673311,266.508927778764189,2.212625230251565,4.906959857970024,2.632514186705496,1.760592301862976,1.474209535194353,1.413236847265375,1.509842487614993,0.892735078683415,1.324641512916282,2.705778668676919,2.811141252247029,3.070562733350999
Nelson,72,2T@SFC,72 2T@SFC,2m Temp,266.360522761465973,265.878413960303476,272.124372385744664,278.673418314406092,286.454080753305902,292.100917769435625,296.021999499481467,295.260213833972045,289.410572443062563,280.789662065086361,272.852685700155007,266.444793721514827,2.292857345693546,5.671610742983181,3.697721393763235,1.786375605603015,1.577320594077328,1.460304218370209,1.688590641007461,1.210955021413618,1.762315502966728,2.253356262727914,2.683530627254817,3.710494158783187
freeman lake,75,2T@SFC,75 2T@SFC,2m Temp,268.865001331676126,269.247091119939626,275.300181995738626,280.151049527254997,287.758192582563936,295.123128717595876,298.312530517578125,296.880164406516315,292.806596235795439,283.348896373401999,276.234424937855124,269.415532892400563,1.995829860430373,3.893330306299042,3.063402705466826,2.327723891509148,1.727932874586510,1.757816857843978,1.327640723480977,1.344100827424950,1.249632461613655,2.487787482245917,2.545582857886966,2.891197686485817
Eureka Reservoir,76,2T@SFC,76 2T@SFC,2m Temp,268.380106086000922,266.877591267694527,272.316884425621652,277.053092983762156,283.559277819911017,288.617161381333403,293.439630221399284,292.726871504088365,286.899209284500103,279.120649476238157,272.592309719851016,267.999447503941951,2.347796138110553,5.849312254710743,3.220138844414513,1.808579304476772,1.563405468231437,1.418172274927214,1.476686881887282,0.936356391832968,1.353288359954616,2.535187003413838,2.578159337501870,3.442082666468267
Cottonwood Reservoir,77,2T@SFC,77 2T@SFC,2m Temp,265.854880593039752,265.449505892666878,271.021062677556813,274.916496970436810,281.660358775745749,287.397809115323128,292.440904097123564,291.958111849698128,286.410999644886374,277.828832452947438,270.365816983309685,265.197848233309685,1.572473861174223,3.234275708327139,2.147172750975903,1.736705934060536,1.072567660757054,1.621637793751937,1.508352924145129,1.217687705140602,1.400282897270686,2.692860042229535,3.018296471089624,2.456876341654318
owens lake,78,2T@SFC,78 2T@SFC,2m Temp,267.466037107951138,267.182315525719105,273.311731076162516,278.440314341246221,286.288411732684381,293.224644207135213,296.539065944310437,295.222121686714161,290.645705095246399,281.303463987338830,274.077159299083519,267.881521638183813,2.055607776984301,4.833559774891783,3.500885924937125,2.189543710175999,1.901122591624946,1.810093343581072,1.429123453931798,1.331820567577938,1.311764068708549,2.532171312962026,2.821366434527675,3.580059920357312
Roosevelt Lake,79,2T@SFC,79 2T@SFC,2m Temp,268.442593661221565,268.600961858575999,275.128839666193187,280.200055209073128,287.422432639382123,294.799620194868623,297.475172563032686,296.292628895152689,292.598322088068187,283.321197509765625,276.198913574218750,269.410916415127815,1.370181664865809,3.394888197091972,2.791294631141136,2.309424032234305,1.579623979646972,1.438762795902160,1.164841473492377,1.306898072103601,1.106324905680795,2.268884077803141,2.443965027952451,2.557159476130993
lake montclair,82,2T@SFC,82 2T@SFC,2m Temp,275.072742808948874,276.735194813121439,280.147660688920439,286.328961459073128,291.449598832563936,296.425685535777689,299.279327392578125,297.951897361061810,294.938343394886374,288.856708873401999,281.704240278764189,278.136946244673311,2.210086619202738,2.881141756653318,2.404239218481406,1.520815750924432,1.635172616268982,0.530922319188277,0.971691772992227,1.023427842375646,1.123778881168582,1.310429190509354,1.619120376203011,1.965922729884636
Monroe,83,2T@SFC,83 2T@SFC,2m Temp,272.813792496925146,274.170202397033790,279.237195509284845,285.165279034402374,291.145906336859412,295.972404592128726,297.577784858876043,296.965085132623756,294.368218503295623,287.728480745582374,279.731034359956766,276.065734336668072,2.499411548607675,3.429078449772383,2.355932179470118,1.520283914218963,1.603866432385261,0.778101856264357,1.006682857806718,0.724654255927240,0.999584071712016,1.147287900978859,2.290358698393648,2.337488035494474
Marrowbone Lake,84,2T@SFC,84 2T@SFC,2m Temp,276.775092601887138,278.717693407956574,283.011714961787959,287.721283669274499,293.190128437865383,297.900084955072543,299.475636431358112,298.538974191562431,296.198802501667615,290.106182391498351,282.687227860161329,279.828092029468223,2.546544561635504,3.090578481585889,1.994933577665355,1.439454405162965,1.351553222062710,1.017544080528763,0.906323521630704,0.715827933887779,1.526480998596321,1.147995490109795,2.326574109819472,2.328709253115696
Hickory Nut Upper Lake_Big Mirror Lake,98,2T@SFC,98 2T@SFC,2m Temp,276.336414683948874,278.707851063121439,281.921275745738626,286.539543845436810,291.153078946200310,295.065422751686810,296.955108642578125,296.056300770152689,293.683371803977252,288.176133589311064,281.484602494673311,278.967379483309685,2.200174053287943,2.646653955807093,2.027420087925087,0.995262025347116,1.467307596114676,0.926957136503877,1.054579502414003,0.786798013028267,1.412966141298961,1.159938388916154,1.795764011103546,2.002722944332767
Lake Hamilton,99,2T@SFC,99 2T@SFC,2m Temp,278.840312656871333,280.256605022401061,285.109770250842189,289.071318238813831,294.052013940956158,299.113411328558698,301.066684771169605,300.458433145545314,298.137929834362865,291.780910119469183,284.409743220381074,281.175214232276460,1.846942930867379,2.693231488381687,1.807539519978902,1.153954651338393,1.478358679089761,1.064826188113807,1.474547672531411,1.189790890720694,1.324318497575905,1.201300713499011,2.063597684479866,2.102504731911115
Lake Hanna,100,2T@SFC,100 2T@SFC,2m Temp,273.996038263494313,275.209449074485065,280.630082563920439,285.916319413618623,291.401125821200310,296.734634399414062,298.585435347123564,297.291918667879997,294.799849076704561,288.099606600674690,280.558466131036937,276.900263006036937,1.765763726402039,3.230469708944462,2.195278203115886,1.557952401305165,1.471557917602512,0.985289511396753,1.222727401116456,0.745740064941107,1.051091896232198,1.183352901445829,2.313812675849065,2.397563864085354
Hammertown Lake,101,2T@SFC,101 2T@SFC,2m Temp,273.258999911221565,274.774257313121439,279.233953302556813,285.124416004527689,290.649882923473001,295.171069058504997,297.218780517578125,296.536059292879997,293.992498224431813,287.638136430220186,280.025973233309685,276.752003062855124,2.573479614066942,3.394720065860107,2.361901208847857,1.527728224380305,1.586001735437476,0.609559557002031,1.071581561987427,0.799470514707561,1.280118482850386,1.232227524960763,2.001727192639847,2.223177297928259
Atagahi,102,2T@SFC,102 2T@SFC,2m Temp,275.836114867089066,278.095335872876717,281.008799828705378,285.253253862712484,289.657491438485579,293.397742330626045,295.103879589878375,294.386398894848639,292.184676903137358,287.103336781929556,280.852215166765916,278.476561129112781,2.156725351442882,2.591809221498734,1.884057560791422,0.956197597778200,1.328119931105342,0.877837992123671,0.857303311422226,0.675735492803915,1.358894008361598,1.134169407711871,1.702174336394394,1.949722371022800
Piney Run Lake,103,2T@SFC,103 2T@SFC,2m Temp,273.647724858580830,275.022842993636345,278.520902364346682,284.817537011994432,290.197340034333024,295.060474343126373,297.983041669185070,296.733422522595617,293.575160976612949,287.607847965913550,280.404015699573677,276.821886125011133,2.331322504816901,3.072176158240493,2.387209001098435,1.592895952764129,1.543263463778895,0.398795194935558,0.878947850601507,0.947471883437286,0.946195972048795,1.230041443637898,1.740784907317207,2.021091343709161
Krodel Park,116,2T@SFC,116 2T@SFC,2m Temp,273.910100763494313,275.536508733575999,279.861439098011374,285.675374811345876,291.047077525745749,295.521743774414062,297.604078813032686,296.830448497425436,294.293634588068187,288.112035577947438,280.594332608309685,277.362976074218750,2.541526381285826,3.339846496485032,2.330050851321838,1.516987615446933,1.612661453989633,0.576485557425463,1.078169074367295,0.888491600791036,1.450942506474297,1.289391542428611,1.956609054100991,2.193668006845948
acworth lake,117,2T@SFC,117 2T@SFC,2m Temp,279.205022638494313,281.659200494939626,284.947909268465935,289.010069413618623,293.770621559836627,297.567908547141315,299.120236483487190,298.458111849698128,296.239479758522748,290.962887850674690,284.270291415127815,281.677429199218750,2.507325302717696,2.692997575546022,1.840176858002596,1.179416069564088,1.299176999162110,0.900526566088485,1.105048359744187,0.838782989416165,1.675232274943319,1.198208306990498,1.966667467674094,1.985790663149684
Beaver Pond,119,2T@SFC,119 2T@SFC,2m Temp,277.101684570312500,279.090841119939626,282.239635120738626,288.002256913618623,292.726232355291188,297.162546331232249,299.794774835759938,298.351045088334502,295.602405894886374,289.925245805220186,283.008039994673311,279.892983176491498,2.048133420871295,2.980808944205398,2.452446412409071,1.267065570651166,1.744014920788403,0.624269610965710,1.046019575036119,1.132050896374073,1.234055662322650,1.232744771154481,1.576709548490121,2.121914714004489
Arrow Head Lake,136,2T@SFC,136 2T@SFC,2m Temp,275.297707297585248,276.675180608575999,281.859130859375000,286.701475663618623,291.959364457563936,297.157574740323128,299.322651256214499,298.211840542879997,295.705211292613626,288.944954612038373,281.528459028764189,277.950866699218750,1.697684100469897,3.083680243422548,2.058872910395809,1.488354101625362,1.400429666238047,1.023748277218038,1.404565696756413,0.802980605824649,1.166863125648637,1.222777501619755,2.232967847800095,2.307111583230001
Burnsville Lake,137,2T@SFC,137 2T@SFC,2m Temp,273.691227897277201,275.592245626935039,279.394992616273328,285.133370760879757,290.108396073532731,294.018377129662497,296.101920789014628,295.336018881257075,292.959234236986561,287.304975596306747,280.188532340347706,277.267350702046485,2.546183365842740,3.289026719275745,2.430930410948708,1.585272211875507,1.713029794650665,0.680879846689630,0.824734597088961,0.981786689340809,1.586437912958160,1.387989723175552,1.876860053394854,2.244725587821502
Suck cr,138,2T@SFC,138 2T@SFC,2m Temp,279.085171786221565,281.276387994939626,284.317937677556813,289.403002652254997,294.038554798473001,297.819506558504997,299.738666881214499,298.733857588334502,296.144664417613626,290.902873646129251,284.282897949218750,281.691811301491498,2.169232469911911,2.848328246901951,2.228466369166788,0.890181964954976,1.547616555111180,1.104926338693140,0.841618228003700,0.776737025436808,1.095842170135563,1.166704883104125,1.663760503077093,2.177351320701053
Canton Lake,146,2T@SFC,146 2T@SFC,2m Temp,276.638502597857894,277.303053305197295,283.957027428779838,288.325229523434928,293.398352214880333,299.250857517851102,301.545302325903322,300.790917429138517,297.764936251169559,290.189995433255945,282.935265809035684,278.319778895472211,0.842576614626290,3.045265878952168,1.915578384050771,1.640351577198288,1.678099490027926,1.136263682974670,1.309380864929006,1.240562192748097,1.514890285556502,1.634693938932426,2.033850884721855,2.282347577893898
Lake Jean Neustadt,147,2T@SFC,147 2T@SFC,2m Temp,279.175903320312500,280.393220381303252,285.987326882102252,289.945261174982249,294.881594571200310,299.907574740323128,302.382132790305377,302.183253895152689,298.913307883522748,292.130501487038373,284.988153631036937,281.035916415127815,1.454503785855639,2.682318306367491,1.875245561077423,1.278243007541761,1.421195979752958,1.020867072875983,1.546518064547000,1.285127816377357,1.590972202969111,1.383751028567640,2.062627909872214,2.261438350917306
Keystone,148,2T@SFC,148 2T@SFC,2m Temp,276.756809035204299,277.801315800147790,283.908149586337117,288.358893691430410,293.637855911216661,299.295566528147845,301.309573326171119,300.587185879346237,297.810549072566403,290.508533874694422,283.251422774742707,278.833683204521492,1.287028063459988,2.837879602009218,1.986734939562192,1.528195787575564,1.543561173875966,0.907925877441439,1.214293242117339,1.080920267719733,1.296953295294354,1.577808868525263,2.209538184799978,2.311322177998187
Sherman Reservoir,149,2T@SFC,149 2T@SFC,2m Temp,269.849867118415091,270.030733260862576,277.005307089203939,282.365504258428359,288.583596586236354,295.702703060796352,297.759448904351132,296.705731518712753,293.475965561438727,284.593670838659420,277.548911032002309,271.393583170267902,1.073148727475300,3.444075609533448,2.443794466261058,1.921002304195217,1.430945171378309,1.219660049367455,0.782453695592482,1.221881788837394,1.181946083095261,1.884240466161440,2.219135888602661,1.915954818690689
Lake Minatare,155,2T@SFC,155 2T@SFC,2m Temp,271.187790803808184,271.225679766547671,276.745242797591629,280.691126022251979,286.319065441280259,294.084771677491176,297.268561033241724,296.161685804942408,292.007533756140447,282.843967001929059,276.666159641614797,271.150772815066262,1.368289076240468,2.821913810588123,2.212638590992491,1.458500803114994,1.641698988164417,1.645714001265335,1.178276600954228,1.169836497701857,0.957042591905965,2.357716414660861,2.172331246789226,2.280179917313103
Storrie Lake,157,2T@SFC,157 2T@SFC,2m Temp,271.330555308948874,272.947197654030560,277.336048473011374,281.099025379527689,285.849456787109375,291.730550592595876,293.149178244850873,291.835420088334502,289.288840553977252,282.919741543856560,276.959744540127815,272.566456187855124,1.468952063054652,1.974202848409575,1.600863945073076,0.877540813557868,1.953087831143522,1.228541392875967,1.216411161157435,1.210101610636763,0.919300940352589,1.393362125696091,2.066541175144307,1.831333836172227
Eaglewatch Lake,159,2T@SFC,159 2T@SFC,2m Temp,268.893765536221565,269.558525779030560,274.373512961647748,278.815467140891315,284.243100253018440,291.819151444868623,294.623077392578125,293.702785145152689,290.570800781250000,282.205252907492877,275.095220392400563,270.059176358309685,1.517943078996087,2.309395876995625,2.145930291889857,1.656097830931415,1.603840750600155,1.434144402346720,0.716223302991153,0.928678720555848,1.077145152180113,2.161165341003326,2.945731556563562,2.324605359751168
Beaver pond,165,2T@SFC,165 2T@SFC,2m Temp,269.935846502130687,270.632389415394186,275.723477450284065,280.227754072709502,285.438945423473001,292.850756558504997,296.144029097123564,295.091101906516315,291.364834872159065,282.786929043856560,275.951044256036937,270.973238858309685,1.937936073963773,2.329998288209872,1.988258797464826,1.728302611146197,1.497317476882774,1.443420108102978,0.754887640003877,1.114312200724199,1.072703379732974,2.284823544922043,2.334669913966652,2.108860493906417
Cloud Southern Plains,166,2T@SFC,166 2T@SFC,2m Temp,272.491421786221565,273.092616688121439,280.050892223011374,285.569195834073128,291.413909912109375,298.358213944868623,300.024178244850873,298.866847645152689,295.928222656250000,287.423115123401999,279.955483176491498,274.655412153764189,0.866599598404332,3.141114264729203,2.385832812963999,1.707310629221205,1.837895982557789,1.185618106872810,0.749994860785357,1.394620831159755,1.483853816920870,1.680306634766827,2.512437439270732,2.108201513053874
Lake Overholser,167,2T@SFC,167 2T@SFC,2m Temp,277.287872971536899,278.267482391460078,284.525115285126503,288.774269011086290,293.944124415888552,299.575715058097671,301.948458517912854,301.338521629005413,298.224665770401316,290.896536185314744,283.489632263646286,279.079695549999997,1.176088449904883,2.881979782358553,1.931382803899490,1.526036909753589,1.635470072880230,1.082279267329787,1.413650759472303,1.084218030514469,1.620767795916444,1.580578103596611,2.126256512420059,2.409946292912388
